Riot Season 1 Championship,2,25000,against All authority
Riot Season 1 Championship,3,10000,Team SoloMid
Riot Season 1 Championship,4,7000,Epik Gamer
Superliga ABCDE Season 2,1,-,TBD
Superliga ABCDE Season 2,2,-,TBD
Superliga ABCDE Season 2,3,-,TBD
Superliga ABCDE Season 2,4,-,TBD
NEST 2018,1,57699.84,JD Gaming
NEST 2018,2,21638.70,Topsports Gaming
NEST 2018,3,11540.64,Rogue Warriors
NEST 2018,4,5770.32,Suning Gaming
European Masters Summer 2018,1,46437.85,MAD Lions
European Masters Summer 2018,2,29023.66,Ninjas in Pyjamas
European Masters Summer 2018,3,15672.77,EURONICS Gaming
European Masters Summer 2018,4,15672.77,ASUS ROG ELITE
LDL Summer Finals 2018,1,LPL Seed,SinoDragon Club
LDL Summer Finals 2018,2,-,Unlimited Potential
LDL Summer Finals 2018,3,-,Victorious Gaming
LDL Summer Finals 2018,4,-,OnlyGame
LMS Regional Finals 2018,1,Worlds 2018,G-Rex
LMS Regional Finals 2018,2,-,J Team
LMS Regional Finals 2018,3,-,Hong Kong Attitude
LMS Regional Finals 2018,4,-,Machi Esports
VCS Summer 2018,1,17152.63,Phong Vũ Buffalo
VCS Summer 2018,2,8576.32,Adonis Esports
VCS Summer 2018,3,6432.24,Friends Forever QTV Gaming
VCS Summer 2018,4,5360.20,EVOS Esports
EU LCS Regional Finals 2018,1,Worlds 2018,G2 Esports
EU LCS Regional Finals 2018,2,-,FC Schalke 04 Esports
EU LCS Regional Finals 2018,3,-,Splyce
EU LCS Regional Finals 2018,4,-,Misfits Gaming
TCL Summer 2018,1,Worlds,SuperMassive eSports
TCL Summer 2018,2,-,Royal Bandits
TCL Summer 2018,3,-,1907 Fenerbahçe Esports
TCL Summer 2018,4,-,Dark Passage
CBLOL Winter 2018,1,-,KaBuM! e-Sports
CBLOL Winter 2018,2,-,Flamengo eSports
CBLOL Winter 2018,3,-,CNB e-Sports Club
CBLOL Winter 2018,4,-,Keyd Stars
LPL Regional Finals 2018,1,Worlds 2018,EDward Gaming
LPL Regional Finals 2018,2,-,Rogue Warriors
LPL Regional Finals 2018,3,-,JD Gaming
NA LCS Regional Finals 2018,1,Worlds 2018,Cloud9
NA LCS Regional Finals 2018,2,-,Team SoloMid
NA LCS Regional Finals 2018,3,-,Echo Fox
NA LCS Regional Finals 2018,4,-,Clutch Gaming
LCK Regional Finals 2018,1,Worlds 2018,Gen.G
LCK Regional Finals 2018,2,-,KING-ZONE DragonX
LCK Regional Finals 2018,3,-,Griffin
LCK Regional Finals 2018,4,-,SK Telecom T1
Final Latinoamérica Movistar 2018,1,Infinity eSports,Infinity eSports
Final Latinoamérica Movistar 2018,2,Kaos Latin Gamers,Kaos Latin Gamers
LJL Summer 2018,1,Worlds 2018,DetonatioN FocusMe
LJL Summer 2018,2,-,Unsold Stuff Gaming
LJL Summer 2018,3,-,PENTAGRAM
LJL Summer 2018,4,-,Burning Core
CLS Closing 2018,1,-,Kaos Latin Gamers
CLS Closing 2018,2,-,Rebirth eSports
CLS Closing 2018,3,-,Isurus Gaming
CLS Closing 2018,4,-,Furious Gaming
LLN Closing 2018,1,-,Infinity eSports
LLN Closing 2018,2,-,Dash9 Gaming
LLN Closing 2018,3,-,Rainbow7
LLN Closing 2018,4,-,Predators eSports
LCL Summer 2018,1,29557.23,Gambit Esports
LCL Summer 2018,2,22167.92,Dragon Army
LCL Summer 2018,3,11083.96,M19
LCL Summer 2018,4,11083.96,Team Just Alpha
CK Summer 2018,1,-,DAMWON Gaming
CK Summer 2018,2,-,Team BattleComics
CK Summer 2018,3,-,Winners
CK Summer 2018,4,-,ES Sharks
CK Summer 2018,5,-,Kongdoo Monster
OPL Split 2 2018,1,11508.64,Dire Wolves
OPL Split 2 2018,3,2877.16,Legacy Esports
OPL Split 2 2018,2,5754.32,Chiefs Esports Club
OPL Split 2 2018,4,2877.16,ORDER
NA Academy League Summer 2018,1,10000,Cloud9 Academy
NA Academy League Summer 2018,2,7000,Counter Logic Gaming Academy
NA Academy League Summer 2018,3,4000,Team Liquid Academy
NA Academy League Summer 2018,4,4000,FlyQuest Academy
Demacia Cup 2018,1,77919.65,Royal Never Give Up
Demacia Cup 2018,2,-,Bilibili Gaming
Demacia Cup 2018,3,-,Invictus Gaming
Demacia Cup 2018,4,-,EDward Gaming
Globe Conquerors Manila 2018,1,100000,Ascension Gaming
Globe Conquerors Manila 2018,2,50000,MEGA
Globe Conquerors Manila 2018,3,25000,Kuala Lumpur Hunters
Globe Conquerors Manila 2018,4,25000,Resurgence
LDL Spring Finals 2018,1,Demacia Cup 2018,TyLoo
LDL Spring Finals 2018,2,Demacia Cup 2018,ShadowCream
LDL Spring Finals 2018,3,-,SinoDragon Club
LDL Spring Finals 2018,4,-,Unlimited Potential
TCL Winter 2018,1,-,SuperMassive eSports
TCL Winter 2018,2,-,Royal Bandits
TCL Winter 2018,3,-,YouthCrew Esports
TCL Winter 2018,4,-,Team AURORA
LLN Opening 2018,1,-,Rainbow7
LLN Opening 2018,2,-,Infinity eSports
LLN Opening 2018,3,-,Gaming Gaming
LLN Opening 2018,4,-,6Sense
LJL Spring 2018,1,,PENTAGRAM
LJL Spring 2018,2,-,DetonatioN FocusMe
LJL Spring 2018,3,-,Unsold Stuff Gaming
LJL Spring 2018,4,-,V3 Esports
European Masters Spring 2018,1,49460.89,Origen
European Masters Spring 2018,2,30913.05,Illuminar Gaming
European Masters Spring 2018,3,16696.48,MAD Lions
European Masters Spring 2018,4,16696.48,GamersOrigin
CLS Opening 2018,1,35238,Kaos Latin Gamers
CLS Opening 2018,2,17619,Rebirth eSports
CLS Opening 2018,3,5873,Isurus Gaming
CLS Opening 2018,4,4111,Rebirth eSports
CBLOL Summer 2018,1,-,KaBuM! e-Sports
CBLOL Summer 2018,2,-,Keyd Stars
CBLOL Summer 2018,3,-,RED Canids
CBLOL Summer 2018,4,-,CNB e-Sports Club
CK Spring 2018,1,-,Griffin
CK Spring 2018,2,-,Ever8 Winners
CK Spring 2018,3,-,Team BattleComics
CK Spring 2018,4,-,DAMWON Gaming
CK Spring 2018,5,-,APK Prince
ECS Spring 2018,1,8548.09,Afro Beast
ECS Spring 2018,2,5128.85,17 Academy
ECS Spring 2018,3,3419.24,Kowloon Esports
ECS Spring 2018,4,-,K Special Forces
VCS Spring 2018,1,22000,EVOS Esports
VCS Spring 2018,2,8800,GIGABYTE Marines
VCS Spring 2018,3,6600,UTM Esports
VCS Spring 2018,4,5500,Young Generation
GPL Spring 2018,1,MSI 2018,Ascension Gaming
GPL Spring 2018,2,-,Kuala Lumpur Hunters
GPL Spring 2018,3,-,Mineski
GPL Spring 2018,4,-,Sovereign
LCL Spring 2018,1,37231.71,Gambit Esports
LCL Spring 2018,2,28317.07,RoX
LCL Spring 2018,3,18878.05,Team Just Alpha
LCL Spring 2018,4,10138.21,M19
OPL Split 1 2018,1,12349,Dire Wolves
OPL Split 1 2018,2,6175,Chiefs Esports Club
OPL Split 1 2018,3,3087,Legacy Esports
OPL Split 1 2018,4,3087,ORDER
V4 Future Sports Festival,1,184683.26,eSuba
V4 Future Sports Festival,2,92346.79,Illuminar Gaming
V4 Future Sports Festival,3,46173.39,Rift Esports
V4 Future Sports Festival,4,46173.39,xD
NA Academy League Spring 2018,1,10000,FlyQuest Academy
NA Academy League Spring 2018,2,7000,Echo Fox Academy
NA Academy League Spring 2018,3,4000,Team Liquid Academy
NA Academy League Spring 2018,4,4000,Cloud9 Academy
Superliga ABCDE Season 1,1,-,INTZ eSports
Superliga ABCDE Season 1,2,-,ProGaming Esports
Superliga ABCDE Season 1,3,-,Team oNe eSports
Superliga ABCDE Season 1,4,-,paiN Gaming
Demacia Championship 2017,1,76255,EDward Gaming
Demacia Championship 2017,2,45753,Snake Esports
Demacia Championship 2017,3,30502,Invictus Gaming
Demacia Championship 2017,4,30502,JD Gaming
KeSPA Cup 2017,1,36552,KT Rolster
KeSPA Cup 2017,2,18276,Longzhu Gaming
KeSPA Cup 2017,3,9138,Samsung Galaxy
KeSPA Cup 2017,4,9138,SK Telecom T1
NEST 2017,1,60371.60,Invictus Gaming
NEST 2017,2,22639.35,JD Gaming
NEST 2017,3,12074.32,LGD Gaming
NEST 2017,4,-,Snake Esports
NA LCS Regional Finals 2017,1,,Cloud9
NA LCS Regional Finals 2017,2,-,Counter Logic Gaming
NA LCS Regional Finals 2017,3,-,FlyQuest
NA LCS Regional Finals 2017,4,-,Team Dignitas
